Graph this data please:

frame,y
1,256.25
2,256.75
3,257.5
4,258.5
5,259.75
6,261.25
7,263
8,265
9,267.25
10,269.75
11,272.5
12,275.5
13,278.75
14,282.25
15,277.9
16,273.79999999999995
17,269.94999999999993
18,266.3499999999999
19,262.9999999999999
20,259.89999999999986
21,257.04999999999984
22,254.44999999999985
23,252.09999999999985
24,249.99999999999986
25,248.14999999999986
26,246.54999999999987
27,245.19999999999987
28,244.09999999999988
29,243.2499999999999
30,242.6499999999999
31,242.2999999999999
32,242.1999999999999
33,242.3499999999999
34,242.74999999999991
35,243.39999999999992
36,244.29999999999993
37,245.44999999999993
38,246.84999999999994
39,248.49999999999994
40,250.39999999999995
41,252.54999999999995
42,254.94999999999996
43,257.59999999999997
44,260.49999999999994
45,263.6499999999999
46,267.0499999999999
47,270.6999999999999
48,274.59999999999985
49,270.24999999999983
50,266.1499999999998
51,262.2999999999998
52,258.69999999999976
53,255.34999999999977
54,252.24999999999977
55,249.39999999999978
56,246.79999999999978
57,244.4499999999998
58,242.3499999999998
59,240.4999999999998
60,238.8999999999998
61,237.5499999999998
62,236.44999999999982
63,235.59999999999982
64,234.99999999999983
65,234.64999999999984
66,234.54999999999984
67,234.69999999999985
68,235.09999999999985
69,235.74999999999986
70,236.64999999999986
71,237.79999999999987
72,239.19999999999987
73,240.84999999999988
74,242.7499999999999
75,244.8999999999999
76,247.2999999999999
77,249.9499999999999
78,252.8499999999999
79,255.99999999999991
80,259.3999999999999
81,263.0499999999999
82,266.9499999999999
83,271.09999999999985
84,275.49999999999983
85,271.1499999999998
86,267.0499999999998
87,263.19999999999976
88,259.59999999999974
89,256.2499999999997
90,253.14999999999972
91,250.29999999999973
92,247.69999999999973
93,245.34999999999974
94,243.24999999999974
95,241.39999999999975
96,239.79999999999976
97,238.44999999999976
98,234.09999999999977
99,229.99999999999977
100,226.14999999999978
101,222.54999999999978
102,219.1999999999998
103,216.0999999999998
104,213.2499999999998
105,210.6499999999998
106,208.2999999999998
107,206.19999999999982
108,204.34999999999982
109,202.74999999999983
110,201.39999999999984
111,200.29999999999984
112,195.94999999999985
113,191.84999999999985
114,187.99999999999986
115,184.39999999999986
116,181.04999999999987
117,177.94999999999987
118,175.09999999999988
119,172.4999999999999
120,170.1499999999999
121,168.0499999999999
122,166.1999999999999
123,164.5999999999999
124,163.24999999999991
125,162.14999999999992
126,161.29999999999993
127,160.69999999999993
128,160.34999999999994
129,160.24999999999994
130,160.39999999999995
131,160.79999999999995
132,161.44999999999996
133,162.34999999999997
134,163.49999999999997
135,164.89999999999998
136,166.54999999999998
137,168.45
138,170.6
139,173
140,175.65
141,178.55
142,181.70000000000002
143,185.10000000000002
144,188.75000000000003
145,192.65000000000003
146,196.80000000000004
147,201.20000000000005
148,205.85000000000005
149,210.75000000000006
150,215.90000000000006
151,221.30000000000007
152,226.95000000000007
153,232.85000000000008
154,239.00000000000009
155,245.4000000000001
156,241.0500000000001
157,236.9500000000001
158,233.1000000000001
159,229.5000000000001
160,226.15000000000012
161,223.05000000000013
162,220.20000000000013
163,217.60000000000014
164,215.25000000000014
165,213.15000000000015
166,211.30000000000015
167,209.70000000000016
168,208.35000000000016
169,207.25000000000017
170,206.40000000000018
171,205.80000000000018
172,205.4500000000002
173,205.3500000000002
174,205.5000000000002
175,205.9000000000002
176,206.5500000000002
177,207.45000000000022
178,208.60000000000022
179,210.00000000000023
180,211.65000000000023
181,213.55000000000024
182,215.70000000000024
183,218.10000000000025
184,220.75000000000026
185,223.65000000000026
186,219.30000000000027
187,215.20000000000027
188,211.35000000000028
189,207.75000000000028
190,204.4000000000003
191,201.3000000000003
192,198.4500000000003
193,195.8500000000003
194,193.5000000000003
195,191.40000000000032
196,189.55000000000032
197,187.95000000000033
198,186.60000000000034
199,185.50000000000034
200,184.65000000000035
201,184.05000000000035
202,183.70000000000036
203,183.60000000000036
204,183.75000000000037
205,184.15000000000038
206,184.80000000000038
207,185.7000000000004
208,186.8500000000004
209,188.2500000000004
210,189.9000000000004
211,191.8000000000004
212,193.95000000000041
213,189.60000000000042
214,185.50000000000043
215,181.65000000000043
216,178.05000000000044
217,174.70000000000044
218,171.60000000000045
219,168.75000000000045
220,166.15000000000046
221,163.80000000000047
222,161.70000000000047
223,159.85000000000048
224,158.25000000000048
225,156.9000000000005
226,155.8000000000005
227,154.9500000000005
228,154.3500000000005
229,154.0000000000005
230,153.90000000000052
231,154.05000000000052
232,154.45000000000053
233,155.10000000000053
234,156.00000000000054
235,157.15000000000055
236,158.55000000000055
237,160.20000000000056
238,162.10000000000056
239,164.25000000000057
240,166.65000000000057
241,169.30000000000058
242,172.20000000000059
243,175.3500000000006
244,178.7500000000006
245,182.4000000000006
246,186.3000000000006
247,190.4500000000006
248,194.85000000000062
249,199.50000000000063
250,204.40000000000063
251,209.55000000000064
252,214.95000000000064
253,220.60000000000065
254,216.25000000000065
255,212.15000000000066
256,208.30000000000067
257,204.70000000000067
258,201.35000000000068
259,198.25000000000068
260,195.4000000000007
261,192.8000000000007
262,190.4500000000007
263,188.3500000000007
264,186.5000000000007
265,184.90000000000072
266,183.55000000000072
267,182.45000000000073
268,181.60000000000073
269,177.25000000000074
270,173.15000000000074
271,169.30000000000075
272,165.70000000000076
273,162.35000000000076
274,159.25000000000077
275,156.40000000000077
276,153.80000000000078
277,151.45000000000078
278,149.3500000000008
279,147.5000000000008
280,145.9000000000008
281,144.5500000000008
282,143.4500000000008
283,142.60000000000082
284,142.00000000000082
285,141.65000000000083
286,141.55000000000084
287,141.70000000000084
288,142.10000000000085
289,142.75000000000085
290,143.65000000000086
291,144.80000000000086
292,146.20000000000087
293,147.85000000000088
294,149.75000000000088
295,151.9000000000009
296,154.3000000000009
297,156.9500000000009
298,152.6000000000009
299,148.5000000000009
300,144.65000000000092
301,141.05000000000092
302,137.70000000000093
303,134.60000000000093
304,131.75000000000094
305,129.15000000000094
306,126.80000000000095
307,124.70000000000095
308,122.85000000000096
309,121.25000000000097
310,119.90000000000097
311,118.80000000000098
312,117.95000000000098
313,117.35000000000099
314,117.000000000001
315,116.900000000001
316,117.050000000001
317,117.45000000000101
318,118.10000000000102
319,119.00000000000102
320,120.15000000000103
321,121.55000000000103
322,123.20000000000104
323,125.10000000000105
324,127.25000000000105
325,129.65000000000106
326,132.30000000000106
327,135.20000000000107
328,138.35000000000107
329,141.75000000000108
330,145.40000000000109
331,149.3000000000011
332,153.4500000000011
333,157.8500000000011
334,162.5000000000011
335,158.1500000000011
336,154.05000000000112
337,150.20000000000113
338,146.60000000000113
339,143.25000000000114
340,140.15000000000114
341,137.30000000000115
342,134.70000000000115
343,132.35000000000116
344,130.25000000000117
345,128.40000000000117
346,126.80000000000118
347,125.45000000000118
348,124.35000000000119
349,123.5000000000012
350,122.9000000000012
351,122.5500000000012
352,122.45000000000121
353,122.60000000000122
354,123.00000000000122
355,123.65000000000123
356,124.55000000000123
357,125.70000000000124
358,127.10000000000124
359,128.75000000000125
360,130.65000000000126
361,132.80000000000126
362,135.20000000000127
363,137.85000000000127
364,140.75000000000128
365,143.90000000000128
366,147.3000000000013
367,150.9500000000013
368,154.8500000000013
369,159.0000000000013
370,163.4000000000013
371,168.05000000000132
372,172.95000000000132
373,178.10000000000133
374,183.50000000000134
375,189.15000000000134
376,195.05000000000135
377,201.20000000000135
378,207.60000000000136
379,214.25000000000136
380,221.15000000000137
381,216.80000000000138
382,212.70000000000138
383,208.8500000000014
384,205.2500000000014
385,201.9000000000014
386,198.8000000000014
387,195.9500000000014
388,193.35000000000142
389,191.00000000000142
390,188.90000000000143
391,187.05000000000143
392,185.45000000000144
393,184.10000000000144
394,183.00000000000145
395,182.15000000000146
396,181.55000000000146
397,181.20000000000147
398,181.10000000000147
399,181.25000000000148
400,181.65000000000148
401,182.3000000000015
402,183.2000000000015
403,184.3500000000015
404,185.7500000000015
405,187.4000000000015
406,189.30000000000152
407,191.45000000000152
408,193.85000000000153
409,189.50000000000153
410,185.40000000000154
411,181.55000000000155
412,177.95000000000155
413,174.60000000000156
414,171.50000000000156
415,168.65000000000157
416,166.05000000000157
417,163.70000000000158
418,161.6000000000016
419,159.7500000000016
420,158.1500000000016
421,156.8000000000016
422,155.7000000000016
423,154.85000000000161
424,154.25000000000162
425,153.90000000000163
426,153.80000000000163
427,153.95000000000164
428,154.35000000000164
429,155.00000000000165
430,155.90000000000165
431,157.05000000000166
432,158.45000000000167
433,160.10000000000167
434,162.00000000000168
435,164.15000000000168
436,166.5500000000017
437,169.2000000000017
438,172.1000000000017
439,175.2500000000017
440,178.6500000000017
441,182.30000000000172
442,186.20000000000172
443,190.35000000000173
444,194.75000000000173
445,199.40000000000174
446,204.30000000000175
447,209.45000000000175
448,214.85000000000176
449,220.50000000000176
450,226.40000000000177
451,232.55000000000177
452,238.95000000000178
453,245.60000000000178
454,252.5000000000018
455,259.6500000000018
456,267.0500000000018
457,274.70000000000175
458,282.6000000000017
459,290.7500000000017
460,299.1500000000017
461,307.80000000000166
462,316.70000000000164
463,325.8500000000016
464,321.5000000000016
465,317.40000000000157
466,313.55000000000155
467,309.9500000000015
468,306.6000000000015
469,303.5000000000015
470,300.65000000000146
471,298.05000000000143
472,295.7000000000014
473,293.6000000000014
474,291.75000000000136
475,290.15000000000134
476,288.8000000000013
477,287.7000000000013
478,286.8500000000013
479,286.25000000000125
480,285.9000000000012
481,285.8000000000012
482,285.9500000000012
483,286.35000000000116
484,287.00000000000114
485,287.9000000000011
486,289.0500000000011
487,290.45000000000107
488,292.10000000000105
489,294.000000000001
490,296.150000000001
491,298.550000000001
492,301.20000000000095
493,304.10000000000093
494,307.2500000000009
495,310.6500000000009
496,314.30000000000086
497,318.20000000000084
498,322.3500000000008
499,326.7500000000008
500,331.4000000000008
501,336.30000000000075
502,341.4500000000007
503,346.8500000000007
504,352.5000000000007
505,358.40000000000066
506,354.05000000000064
507,349.9500000000006
508,346.1000000000006
509,342.50000000000057
510,339.15000000000055
511,336.0500000000005
512,333.2000000000005
513,330.6000000000005
514,328.25000000000045
515,326.15000000000043
516,324.3000000000004
517,322.7000000000004
518,321.35000000000036
519,320.25000000000034
520,319.4000000000003
521,318.8000000000003
522,318.4500000000003
523,318.35000000000025
524,318.5000000000002
525,318.9000000000002
526,319.5500000000002
527,320.45000000000016
528,321.60000000000014
529,323.0000000000001
530,324.6500000000001
531,326.55000000000007
532,328.70000000000005
533,331.1
534,333.75
535,336.65
536,332.29999999999995
537,328.19999999999993
538,324.3499999999999
539,320.7499999999999
540,317.39999999999986
541,314.29999999999984
542,311.4499999999998
543,308.8499999999998
544,306.4999999999998
545,304.39999999999975
546,302.5499999999997
547,300.9499999999997
548,299.5999999999997
549,298.49999999999966
550,294.14999999999964
